open_hour,gap_threshold,rule,switches,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50+
0,0,rank-1 + gap>0,6,1,1,2,0,0,0,0,1,0,0,1
0,5,rank-1 + gap>5,6,0,1,0,3,0,0,0,0,1,0,1
0,10,rank-1 + gap>10,6,0,0,1,1,2,0,0,0,0,1,1
0,15,rank-1 + gap>15,5,0,0,0,1,0,2,0,0,0,0,2
0,20,rank-1 + gap>20,5,0,0,0,0,1,0,2,0,0,0,2
0,25,rank-1 + gap>25,4,0,0,0,0,0,1,0,2,0,0,1
0,50,rank-1 + gap>50,3,0,0,0,0,0,0,0,0,0,0,3
0,75,rank-1 + gap>75,3,0,0,0,0,0,0,0,0,0,0,3
0,100,rank-1 + gap>100,2,0,0,0,0,0,0,0,0,0,0,2
0,150,rank-1 + gap>150,0,0,0,0,0,0,0,0,0,0,0,0
0,200,rank-1 + gap>200,0,0,0,0,0,0,0,0,0,0,0,0
1,0,rank-1 + gap>0,8,1,2,3,0,0,0,0,1,0,0,1
1,5,rank-1 + gap>5,6,0,2,0,2,0,0,0,0,1,0,1
1,10,rank-1 + gap>10,6,0,0,2,0,2,0,0,0,0,1,1
1,15,rank-1 + gap>15,5,0,0,0,1,0,2,0,0,0,0,2
1,20,rank-1 + gap>20,5,0,0,0,0,1,0,2,0,0,0,2
1,25,rank-1 + gap>25,4,0,0,0,0,0,1,0,2,0,0,1
1,50,rank-1 + gap>50,4,0,0,0,0,0,0,0,0,0,0,4
1,75,rank-1 + gap>75,3,0,0,0,0,0,0,0,0,0,0,3
1,100,rank-1 + gap>100,2,0,0,0,0,0,0,0,0,0,0,2
1,150,rank-1 + gap>150,0,0,0,0,0,0,0,0,0,0,0,0
1,200,rank-1 + gap>200,0,0,0,0,0,0,0,0,0,0,0,0
2,0,rank-1 + gap>0,6,0,2,2,0,0,0,0,1,0,0,1
2,5,rank-1 + gap>5,6,0,1,1,2,0,0,0,0,1,0,1
2,10,rank-1 + gap>10,4,0,0,1,0,1,0,0,0,0,1,1
2,15,rank-1 + gap>15,3,0,0,0,0,0,1,0,0,0,0,2
2,20,rank-1 + gap>20,3,0,0,0,0,0,0,1,0,0,0,2
2,25,rank-1 + gap>25,2,0,0,0,0,0,0,0,1,0,0,1
2,50,rank-1 + gap>50,2,0,0,0,0,0,0,0,0,0,0,2
2,75,rank-1 + gap>75,2,0,0,0,0,0,0,0,0,0,0,2
2,100,rank-1 + gap>100,1,0,0,0,0,0,0,0,0,0,0,1
2,150,rank-1 + gap>150,0,0,0,0,0,0,0,0,0,0,0,0
2,200,rank-1 + gap>200,0,0,0,0,0,0,0,0,0,0,0,0
3,0,rank-1 + gap>0,5,0,1,2,0,0,0,0,1,0,0,1
3,5,rank-1 + gap>5,5,0,1,0,2,0,0,0,0,1,0,1
3,10,rank-1 + gap>10,5,0,0,1,0,2,0,0,0,0,1,1
3,15,rank-1 + gap>15,3,0,0,0,0,0,1,0,0,0,0,2
3,20,rank-1 + gap>20,3,0,0,0,0,0,0,1,0,0,0,2
3,25,rank-1 + gap>25,2,0,0,0,0,0,0,0,1,0,0,1
3,50,rank-1 + gap>50,2,0,0,0,0,0,0,0,0,0,0,2
3,75,rank-1 + gap>75,2,0,0,0,0,0,0,0,0,0,0,2
3,100,rank-1 + gap>100,1,0,0,0,0,0,0,0,0,0,0,1
3,150,rank-1 + gap>150,0,0,0,0,0,0,0,0,0,0,0,0
3,200,rank-1 + gap>200,0,0,0,0,0,0,0,0,0,0,0,0
