open_hour,gap_threshold,date,timestamp,from_product,from_strategy,to_product,to_strategy,new_rank1_count_cum,held_rank1_count_cum,count_gap,bucket
0,0,2026-03-26,2026-03-26 13:20:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,14,13,1,10-15
0,0,2026-03-31,2026-03-31 19:05:00,GBPNZD_C,breakout_R_Rev_2_tp3.0_sl5.0,GBPAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,99,98,1,50+
0,0,2026-04-01,2026-04-01 02:30:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,11,10,1,10-15
0,0,2026-04-06,2026-04-06 06:15:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,38,37,1,35-40
0,0,2026-04-09,2026-04-09 18:35:00,GBPEUR_C,breakout_2_tp5.0_sl20.0,EURAUD_C,breakout_2_tp5.0_sl20.0,9,3,6,5-10
0,0,2026-04-17,2026-04-17 00:40:00,EURAUD_C,breakout_R_2_tp5.0_sl20.0,AUD,breakout_R_2_tp5.0_sl20.0,3,2,1,0-5
0,5,2026-03-26,2026-03-26 13:45:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,19,13,6,15-20
0,5,2026-03-31,2026-03-31 19:30:00,GBPNZD_C,breakout_R_Rev_2_tp3.0_sl5.0,GBPAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,104,98,6,50+
0,5,2026-04-01,2026-04-01 02:55:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,16,10,6,15-20
0,5,2026-04-06,2026-04-06 06:40:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,43,37,6,40-45
0,5,2026-04-09,2026-04-09 18:35:00,GBPEUR_C,breakout_2_tp5.0_sl20.0,EURAUD_C,breakout_2_tp5.0_sl20.0,9,3,6,5-10
0,5,2026-04-17,2026-04-17 03:45:00,EURAUD_C,breakout_R_2_tp5.0_sl20.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,16,2,14,15-20
0,10,2026-03-26,2026-03-26 14:10:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,24,13,11,20-25
0,10,2026-03-31,2026-03-31 19:55:00,GBPNZD_C,breakout_R_Rev_2_tp3.0_sl5.0,GBPAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,109,98,11,50+
0,10,2026-04-01,2026-04-01 03:20:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,21,10,11,20-25
0,10,2026-04-06,2026-04-06 07:05:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,48,37,11,45-50
0,10,2026-04-09,2026-04-09 19:00:00,GBPEUR_C,breakout_2_tp5.0_sl20.0,EURAUD_C,breakout_2_tp5.0_sl20.0,14,3,11,10-15
0,10,2026-04-17,2026-04-17 03:45:00,EURAUD_C,breakout_R_2_tp5.0_sl20.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,16,2,14,15-20
0,15,2026-03-26,2026-03-26 14:35:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,29,13,16,25-30
0,15,2026-03-31,2026-03-31 20:20:00,GBPNZD_C,breakout_R_Rev_2_tp3.0_sl5.0,GBPAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,114,98,16,50+
0,15,2026-04-01,2026-04-01 03:45:00,EURNZD_C,breakout_R_2_tp3.0_sl10.0,GBP,breakout_Rev_2_tp3.0_sl5.0,26,10,16,25-30
0,15,2026-04-06,2026-04-06 07:30:00,NZDAUD_C,breakout_2_tp5.0_sl20.0,GBPEUR_S,breakout_R_Rev_2_tp5.0_sl5.0,53,37,16,50+
0,15,2026-04-17,2026-04-17 03:55:00,EURAUD_C,breakout_R_2_tp5.0_sl20.0,GBPAUD_C,breakout_R_2_tp5.0_sl20.0,18,2,16,15-20
0,20,2026-03-26,2026-03-26 15:00:00,NZDAUD_C,breakout_R_Rev_2_tp3.0_sl5.0,EURNZD_C,breakout_4_tp20.0_sl50.0,34,13,21,30-35
