open_hour,threshold,rule,total_net,avg_day,switches,days,opened_days,skipped_days
0,-9999,Always rank-1,6770.000000000587,260.3846153846379,33,26,25,1
0,0,rank-1 + net>0,6770.000000000587,260.3846153846379,33,26,25,1
0,25,rank-1 + net>25,7485.000000000476,287.88461538463366,18,26,25,1
0,50,rank-1 + net>50,6145.000000000174,236.34615384616052,13,26,25,1
0,75,rank-1 + net>75,6190.000000000293,238.07692307693435,11,26,25,1
0,100,rank-1 + net>100,5950.000000000209,228.84615384616188,8,26,25,1
0,150,rank-1 + net>150,5900.000000000204,226.92307692308475,7,26,25,1
0,200,rank-1 + net>200,5665.000000000036,217.88461538461678,3,26,25,1
0,300,rank-1 + net>300,2855.0000000002465,109.80769230770179,0,26,25,1
0,500,rank-1 + net>500,2855.0000000002465,109.80769230770179,0,26,25,1
1,-9999,Always rank-1,18160.00000000057,698.4615384615604,32,26,25,1
1,0,rank-1 + net>0,18160.00000000057,698.4615384615604,32,26,25,1
1,25,rank-1 + net>25,18935.00000000029,728.269230769242,20,26,25,1
1,50,rank-1 + net>50,18349.99999999996,705.7692307692292,13,26,25,1
1,75,rank-1 + net>75,18914.999999999738,727.4999999999899,12,26,25,1
1,100,rank-1 + net>100,18774.999999999804,722.115384615377,10,26,25,1
1,150,rank-1 + net>150,18654.999999999643,717.4999999999862,8,26,25,1
1,200,rank-1 + net>200,18034.999999999476,693.653846153826,5,26,25,1
1,300,rank-1 + net>300,14675.000000000055,564.4230769230791,1,26,25,1
1,500,rank-1 + net>500,14675.000000000055,564.4230769230791,1,26,25,1
2,-9999,Always rank-1,18560.00000000057,713.8461538461759,24,26,25,1
2,0,rank-1 + net>0,18560.00000000057,713.8461538461759,24,26,25,1
2,25,rank-1 + net>25,19140.00000000029,736.1538461538573,16,26,25,1
2,50,rank-1 + net>50,18169.99999999996,698.8461538461523,10,26,25,1
2,75,rank-1 + net>75,17999.99999999995,692.3076923076903,7,26,25,1
2,100,rank-1 + net>100,17860.000000000015,686.9230769230775,5,26,25,1
2,150,rank-1 + net>150,17810.00000000001,685.0000000000005,4,26,25,1
2,200,rank-1 + net>200,17779.999999999978,683.846153846153,2,26,25,1
2,300,rank-1 + net>300,14985.000000000233,576.3461538461628,0,26,25,1
2,500,rank-1 + net>500,14985.000000000233,576.3461538461628,0,26,25,1
