date,open_hour,segments,switches,net_return,snapshots,opened
2026-03-24,0,5,4,-452.5,10,True
2026-03-26,0,1,0,65.0,2,True
2026-03-27,0,1,0,0.0,1,True
2026-03-28,0,0,0,0,0,False
2026-03-29,0,1,0,0.0,1,True
2026-03-30,0,1,0,160.0,2,True
2026-03-31,0,3,2,-180.0,3,True
2026-04-01,0,2,1,-50.0,3,True
2026-04-02,0,3,2,-120.0,3,True
2026-04-03,0,1,0,0.0,2,True
2026-04-05,0,1,0,0.0,1,True
2026-04-06,0,2,1,-370.0,2,True
2026-04-07,0,2,1,110.0,2,True
2026-04-08,0,1,0,900.0,3,True
2026-04-09,0,1,0,0.0,1,True
2026-04-17,0,3,2,-370.0,4,True
2026-03-24,1,5,4,-452.5,10,True
2026-03-26,1,1,0,65.0,2,True
2026-03-27,1,1,0,0.0,1,True
2026-03-28,1,0,0,0,0,False
2026-03-29,1,1,0,0.0,1,True
2026-03-30,1,1,0,160.0,2,True
2026-03-31,1,3,2,-180.0,3,True
2026-04-01,1,2,1,-50.0,3,True
2026-04-02,1,3,2,-120.0,3,True
2026-04-03,1,1,0,0.0,2,True
2026-04-05,1,1,0,0.0,1,True
2026-04-06,1,2,1,-370.0,2,True
2026-04-07,1,2,1,110.0,2,True
2026-04-08,1,1,0,900.0,3,True
2026-04-09,1,1,0,0.0,1,True
2026-04-17,1,3,2,-370.0,4,True
2026-03-24,2,5,4,-527.5,10,True
2026-03-26,2,1,0,65.0,2,True
2026-03-27,2,1,0,0.0,1,True
2026-03-28,2,0,0,0,0,False
2026-03-29,2,1,0,0.0,1,True
2026-03-30,2,1,0,160.0,2,True
2026-03-31,2,3,2,-180.0,3,True
2026-04-01,2,2,1,-50.0,3,True
2026-04-02,2,3,2,-120.0,3,True
2026-04-03,2,1,0,0.0,2,True
2026-04-05,2,1,0,0.0,1,True
2026-04-06,2,2,1,-370.0,2,True
2026-04-07,2,2,1,110.0,2,True
2026-04-08,2,1,0,900.0,3,True
2026-04-09,2,1,0,0.0,1,True
2026-04-17,2,3,2,-370.0,4,True
2026-03-24,3,5,4,-630.0,10,True
2026-03-26,3,1,0,65.0,2,True
2026-03-27,3,1,0,0.0,1,True
2026-03-28,3,0,0,0,0,False
2026-03-29,3,1,0,0.0,1,True
2026-03-30,3,1,0,160.0,2,True
2026-03-31,3,3,2,-180.0,3,True
2026-04-01,3,2,1,-50.0,3,True
2026-04-02,3,3,2,-120.0,3,True
2026-04-03,3,1,0,0.0,2,True
2026-04-05,3,1,0,0.0,1,True
2026-04-06,3,2,1,-370.0,2,True
2026-04-07,3,2,1,110.0,2,True
2026-04-08,3,1,0,900.0,3,True
2026-04-09,3,1,0,0.0,1,True
2026-04-17,3,3,2,-370.0,4,True
