date,time,event,from_product,from_strategy,from_rank,from_net,to_product,to_strategy,to_rank,to_net,source_file,open_hour
2026-03-16,2026-03-16T04:19:28.326718,open,,,,,GBPAUD_C,breakout_R_Rev_4_tp10.0_sl20.0,1,185.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-16\archive\041942\_summary_net_pre_auto_archive.json,0
2026-03-16,2026-03-16T06:28:27.874419,replace,GBPAUD_C,breakout_R_Rev_4_tp10.0_sl20.0,103,180.0,GBPNZD_C,breakout_4_tp10.0_sl5.0,1,347.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-16\archive\062844\_summary_net_pre_auto_archive.json,0
2026-03-16,2026-03-16T07:35:39.579380,replace,GBPNZD_C,breakout_4_tp10.0_sl5.0,197,140.0,GBPAUD_C,breakout_R_Rev_4_tp20.0_sl20.0,1,497.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-16\archive\073554\_summary_net_pre_auto_archive.json,0
2026-03-16,2026-03-16T08:22:48.231311,replace,GBPAUD_C,breakout_R_Rev_4_tp20.0_sl20.0,141,235.0,NZDAUD_C,breakout_R_4_tp20.0_sl20.0,1,597.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-16\archive\082314\_summary_net_pre_auto_archive.json,0
2026-03-16,2026-03-16T09:23:51.698326,replace,NZDAUD_C,breakout_R_4_tp20.0_sl20.0,15,760.0,GBPEUR_C,breakout_R_3_tp10.0_sl20.0,1,917.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-16\archive\092413\_summary_net_pre_auto_archive.json,0
2026-03-16,2026-03-16T10:19:43.944485,replace,GBPEUR_C,breakout_R_3_tp10.0_sl20.0,4,917.5,GBPEUR_C,breakout_3_tp20.0_sl20.0,1,935.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-16\archive\101956\_summary_net_pre_auto_archive.json,0
2026-03-16,2026-03-16T18:07:13.411700,replace,GBPEUR_C,breakout_3_tp20.0_sl20.0,6,1035.0,GBPEUR_C,breakout_3_tp20.0_sl50.0,1,1392.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-16\archive\180728\_summary_net_pre_auto_archive.json,0
2026-03-16,2026-03-16T23:12:16.955211,replace,GBPEUR_C,breakout_3_tp20.0_sl50.0,5,1010.0,NZDAUD_C,breakout_R_2_tp20.0_sl20.0,1,1290.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-16\archive\231247\_summary_net_pre_auto_archive.json,0
2026-03-17,2026-03-17T00:00:00.432359,open,,,,,NZDAUD_C,breakout_R_2_tp20.0_sl20.0,1,1290.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-16\_summary_net.json,0
2026-03-17,2026-03-17T03:46:56.267661,replace,NZDAUD_C,breakout_R_2_tp20.0_sl20.0,557,-20.0,NZDAUD_C,breakout_R_Rev_3_tp20.0_sl20.0,1,547.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-17\archive\034722\_summary_net_pre_auto_archive.json,0
2026-03-17,2026-03-17T06:00:38.641967,replace,NZDAUD_C,breakout_R_Rev_3_tp20.0_sl20.0,28,577.5,GBPAUD_C,breakout_R_Rev_4_tp20.0_sl30.0,1,977.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-17\archive\060059\_summary_net_pre_auto_archive.json,0
2026-03-17,2026-03-17T08:16:07.034048,replace,GBPAUD_C,breakout_R_Rev_4_tp20.0_sl30.0,10,810.0,EURAUD_C,breakout_R_Rev_4_tp20.0_sl20.0,1,1280.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-17\archive\081645\_summary_net_pre_auto_archive.json,0
2026-03-17,2026-03-17T12:19:05.071402,replace,EURAUD_C,breakout_R_Rev_4_tp20.0_sl20.0,12,927.5,NZDAUD_C,breakout_R_Rev_2_tp20.0_sl20.0,1,1180.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-17\archive\121953\_summary_net_pre_auto_archive.json,0
2026-03-17,2026-03-17T18:14:03.098671,replace,NZDAUD_C,breakout_R_Rev_2_tp20.0_sl20.0,912,-285.0,EURAUD_C,breakout_R_Rev_2_tp20.0_sl5.0,1,570.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-17\_summary_net_pre_auto_archive.json,0
2026-03-18,2026-03-18T05:20:39.243844,open,,,,,NZDAUD_C,breakout_R_Rev_2_tp20.0_sl20.0,1,412.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-18\archive\052044\_summary_net_pre_auto_archive.json,0
2026-03-18,2026-03-18T12:46:13.891673,replace,NZDAUD_C,breakout_R_Rev_2_tp20.0_sl20.0,960,-330.0,GBPAUD_C,breakout_2_tp10.0_sl5.0,1,365.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-18\archive\124624\_summary_net_pre_auto_archive.json,0
2026-03-18,2026-03-18T13:45:52.587990,replace,GBPAUD_C,breakout_2_tp10.0_sl5.0,18,300.0,GBPEUR_C,breakout_4_tp20.0_sl50.0,1,760.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-18\archive\134616\_summary_net_pre_auto_archive.json,0
2026-03-18,2026-03-18T16:37:45.937995,replace,GBPEUR_C,breakout_4_tp20.0_sl50.0,7,830.0,GBPEUR_C,breakout_R_Rev_2_tp20.0_sl5.0,1,1237.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-18\archive\163814\_summary_net_pre_auto_archive.json,0
2026-03-19,2026-03-19T00:00:01.748537,open,,,,,GBPEUR_C,breakout_R_Rev_2_tp20.0_sl5.0,1,1317.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-18\_summary_net.json,0
2026-03-19,2026-03-19T02:47:23.945840,replace,GBPEUR_C,breakout_R_Rev_2_tp20.0_sl5.0,68,267.5,GBPAUD_C,breakout_R_2_tp20.0_sl5.0,1,535.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-19\archive\024752\_summary_net_pre_auto_archive.json,0
2026-03-19,2026-03-19T09:23:14.124150,replace,GBPAUD_C,breakout_R_2_tp20.0_sl5.0,32,710.0,GBPEUR_C,breakout_4_tp20.0_sl20.0,1,1140.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-19\archive\092323\_summary_net_pre_auto_archive.json,0
2026-03-19,2026-03-19T14:03:01.543074,replace,GBPEUR_C,breakout_4_tp20.0_sl20.0,18,930.0,GBPEUR_C,breakout_4_tp20.0_sl30.0,1,1330.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-19\archive\140328\_summary_net_pre_auto_archive.json,0
2026-03-20,2026-03-20T00:00:04.531084,open,,,,,GBPEUR_C,breakout_4_tp20.0_sl30.0,1,1710.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-19\_summary_net.json,0
2026-03-20,2026-03-20T06:06:59.580049,replace,GBPEUR_C,breakout_4_tp20.0_sl30.0,21,372.5,GBPEUR_C,breakout_R_Rev_4_tp20.0_sl5.0,1,467.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-20\archive\060708\_summary_net_pre_auto_archive.json,0
2026-03-20,2026-03-20T08:52:58.788879,replace,GBPEUR_C,breakout_R_Rev_4_tp20.0_sl5.0,116,272.5,GBPEUR_C,breakout_R_Rev_2_tp20.0_sl50.0,1,757.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-20\_summary_net_pre_auto_archive.json,0
2026-03-20,2026-03-20T13:28:29.624390,replace,GBPEUR_C,breakout_R_Rev_2_tp20.0_sl50.0,559,-147.5,GBPEUR_C,breakout_Rev_2_tp20.0_sl5.0,1,952.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-20\_summary_net.json,0
2026-03-23,2026-03-23T03:04:06.776782,open,,,,,NZDAUD_C,breakout_2_tp10.0_sl20.0,1,257.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-23\archive\030410\_summary_net_pre_auto_archive.json,0
2026-03-23,2026-03-23T05:16:21.359535,replace,NZDAUD_C,breakout_2_tp10.0_sl20.0,170,82.5,GBPEUR_C,breakout_R_Rev_4_tp20.0_sl20.0,1,430.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-23\archive\051632\_summary_net_pre_auto_archive.json,0
2026-03-23,2026-03-23T05:48:35.874280,replace,GBPEUR_C,breakout_R_Rev_4_tp20.0_sl20.0,7,357.5,GBPAUD_C,breakout_2_tp5.0_sl20.0,1,520.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-23\archive\054846\_summary_net_pre_auto_archive.json,0
2026-03-23,2026-03-23T07:55:53.697383,replace,GBPAUD_C,breakout_2_tp5.0_sl20.0,12,560.0,GBPEUR_C,breakout_R_Rev_4_tp20.0_sl20.0,1,622.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-23\archive\075628\_summary_net_pre_auto_archive.json,0
2026-03-23,2026-03-23T11:16:26.480957,replace,GBPEUR_C,breakout_R_Rev_4_tp20.0_sl20.0,7,792.5,GBPAUD_C,breakout_Rev_2_tp20.0_sl5.0,1,1030.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-23\archive\111636\_summary_net_pre_auto_archive.json,0
2026-03-23,2026-03-23T18:02:44.837556,replace,GBPAUD_C,breakout_Rev_2_tp20.0_sl5.0,11,840.0,GBPEUR_C,breakout_R_Rev_4_tp20.0_sl20.0,1,1172.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-23\_summary_net_pre_auto_archive.json,0
2026-03-23,2026-03-23T23:59:46.262363,replace,GBPEUR_C,breakout_R_Rev_4_tp20.0_sl20.0,13,780.0,EURNZD_C,breakout_2_tp20.0_sl20.0,1,1120.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-23\_summary_net.json,0
2026-03-24,2026-03-24T01:18:29.939667,open,,,,,GBPAUD_C,breakout_R_Rev_3_tp20.0_sl5.0,1,405.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-24\archive\011857\_summary_net_pre_auto_archive.json,0
2026-03-24,2026-03-24T07:18:10.297199,replace,GBPAUD_C,breakout_R_Rev_3_tp20.0_sl5.0,11,462.5,GBPEUR_C,breakout_R_3_tp10.0_sl5.0,1,750.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-24\archive\071827\_summary_net_pre_auto_archive.json,0
2026-03-24,2026-03-24T10:05:18.421862,replace,GBPEUR_C,breakout_R_3_tp10.0_sl5.0,5,630.0,GBPEUR_C,breakout_R_4_tp20.0_sl5.0,1,770.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-24\archive\100530\_summary_net_pre_auto_archive.json,0
2026-03-24,2026-03-24T18:51:40.984678,replace,GBPEUR_C,breakout_R_4_tp20.0_sl5.0,24,830.0,GBPAUD_C,breakout_2_tp20.0_sl50.0,1,1140.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-24\archive\185159\_summary_net_pre_auto_archive.json,0
2026-03-24,2026-03-24T22:16:37.568323,replace,GBPAUD_C,breakout_2_tp20.0_sl50.0,13,890.0,EURAUD_C,breakout_R_Rev_3_tp20.0_sl5.0,1,1272.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-24\archive\221653\_summary_net_pre_auto_archive.json,0
2026-03-25,2026-03-25T01:15:56.422385,open,,,,,GBPAUD_C,breakout_R_2_tp20.0_sl20.0,1,380.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-25\archive\011618\_summary_net_pre_auto_archive.json,0
2026-03-25,2026-03-25T01:55:41.012880,replace,GBPAUD_C,breakout_R_2_tp20.0_sl20.0,8,530.0,GBPAUD_C,breakout_R_3_tp20.0_sl20.0,1,557.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-25\archive\015552\_summary_net_pre_auto_archive.json,0
2026-03-25,2026-03-25T02:53:31.047921,replace,GBPAUD_C,breakout_R_3_tp20.0_sl20.0,8,407.5,GBPEUR_C,breakout_R_Rev_3_tp20.0_sl5.0,1,525.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-25\archive\025427\_summary_net_pre_auto_archive.json,0
2026-03-25,2026-03-25T08:34:45.025831,replace,GBPEUR_C,breakout_R_Rev_3_tp20.0_sl5.0,6,632.5,GBPEUR_C,breakout_R_3_tp20.0_sl5.0,1,770.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-25\archive\083515\_summary_net_pre_auto_archive.json,0
2026-03-25,2026-03-25T14:03:19.832683,replace,GBPEUR_C,breakout_R_3_tp20.0_sl5.0,14,640.0,GBPNZD_C,breakout_Rev_4_tp20.0_sl20.0,1,922.5,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-25\_summary_net_pre_auto_archive.json,0
2026-03-26,2026-03-26T21:07:26.758970,open,,,,,GBPAUD_C,breakout_2_tp20.0_sl5.0,1,470.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-26\archive\210754\_summary_net_pre_auto_archive.json,0
2026-03-27,2026-03-27T08:07:01.815928,open,,,,,GBPAUD_C,breakout_2_tp20.0_sl20.0,1,360.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-27\_summary_net.json,0
2026-03-29,2026-03-29T23:59:54.427073,open,,,,,GBPNZD_C,breakout_2_tp3.0_sl20.0,1,10.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-29\_summary_net.json,0
2026-03-30,2026-03-30T15:06:45.023150,open,,,,,EURAUD_C,breakout_R_2_tp20.0_sl20.0,1,360.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-30\_summary_net_pre_auto_archive.json,0
2026-03-31,2026-03-31T08:21:12.921113,open,,,,,GBPAUD_C,breakout_2_tp10.0_sl20.0,1,480.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-31\archive\072154\_summary_net_pre_auto_archive.json,0
2026-03-31,2026-03-31T22:01:51.305153,replace,GBPAUD_C,breakout_2_tp10.0_sl20.0,41,420.0,GBPAUD_C,breakout_R_2_tp3.0_sl10.0_400f3f6d,1,401350.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-31\archive\210205\_summary_net_pre_auto_archive.json,0
2026-03-31,2026-03-31T23:59:35.152336,replace,GBPAUD_C,breakout_R_2_tp3.0_sl10.0_400f3f6d,417,10.0,GBPNZD_C,breakout_R_2_tp50.0_sl10.0,1,1420.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-03-31\_summary_net.json,0
2026-04-01,2026-04-01T08:20:03.524824,open,,,,,GBPEUR_C,breakout_2_tp50.0_sl5.0,1,410.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-01\archive\072036\_summary_net_pre_auto_archive.json,0
2026-04-01,2026-04-01T19:22:47.181535,replace,GBPEUR_C,breakout_2_tp50.0_sl5.0,58,410.0,GBPAUD_C,breakout_R_2_tp10.0_sl20.0,1,880.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-01\_summary_net_pre_auto_archive.json,0
2026-04-02,2026-04-02T08:00:33.860613,open,,,,,GBPEUR_C,breakout_R_3_tp30.0_sl10.0,1,560.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-02\archive\070039\_summary_net_pre_auto_archive.json,0
2026-04-02,2026-04-02T22:15:06.738824,replace,GBPEUR_C,breakout_R_3_tp30.0_sl10.0,28,560.0,EURNZD_C,breakout_R_2_tp30.0_sl50.0,1,1120.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-02\archive\211522\_summary_net_pre_auto_archive.json,0
2026-04-03,2026-04-03T16:56:03.833090,open,,,,,GBPNZD_C,breakout_R_2_tp30.0_sl10.0,1,560.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-03\_summary_net_pre_auto_archive.json,0
2026-04-04,2026-04-04T23:59:58.077919,open,,,,,EURNZD_C,breakout_R_2_tp20.0_sl10.0,1,-20.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-04\_summary_net.json,0
2026-04-05,2026-04-05T23:59:57.386259,open,,,,,EURNZD_C,breakout_R_2_tp30.0_sl10.0,1,280.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-05\_summary_net.json,0
2026-04-06,2026-04-06T18:21:36.397902,open,,,,,GBPEUR_C,breakout_2_tp20.0_sl30.0,1,540.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-06\_summary_net_pre_auto_archive.json,0
2026-04-06,2026-04-06T23:59:49.016204,replace,GBPEUR_C,breakout_2_tp20.0_sl30.0,57,220.0,GBPAUD_C,breakout_2_tp20.0_sl10.0,1,520.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-06\_summary_net.json,0
2026-04-07,2026-04-07T11:25:55.269505,open,,,,,EURAUD_C,breakout_R_2_tp20.0_sl10.0,1,360.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-07\_summary_net_pre_auto_archive.json,0
2026-04-07,2026-04-07T23:59:47.558396,replace,EURAUD_C,breakout_R_2_tp20.0_sl10.0,14,520.0,GBPAUD_C,breakout_R_2_tp30.0_sl10.0,1,820.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-07\_summary_net.json,0
2026-04-08,2026-04-08T05:41:14.924073,open,,,,,GBPAUD_C,breakout_R_2_tp20.0_sl10.0,1,360.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-08\archive\044123\_summary_net_pre_auto_archive.json,0
2026-04-09,2026-04-09T16:32:35.519274,open,,,,,GBPAUD_C,breakout_R_2_tp20.0_sl20.0,1,1255.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-09\_summary_net_pre_auto_archive.json,0
