captured_at,source_timestamp,product,bid,ask,mid
2026-05-05T13:16:01.049692,2026-05-05T13:15:59.221464+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:16:02.083339,2026-05-05T13:15:59.221464+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:16:03.143589,2026-05-05T13:15:59.221464+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:16:04.179706,2026-05-05T13:15:59.221464+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:16:05.213979,2026-05-05T13:15:59.221464+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:16:06.260405,2026-05-05T13:15:59.221464+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:16:07.301424,2026-05-05T13:15:59.221464+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:16:08.313695,2026-05-05T13:16:08.186968+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:09.323989,2026-05-05T13:16:08.186968+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:10.381030,2026-05-05T13:16:08.186968+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:11.405048,2026-05-05T13:16:08.186968+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:12.425632,2026-05-05T13:16:08.186968+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:13.501597,2026-05-05T13:16:08.186968+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:14.519586,2026-05-05T13:16:08.186968+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:15.530975,2026-05-05T13:16:08.186968+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:16.547166,2026-05-05T13:16:08.186968+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:17.586819,2026-05-05T13:16:17.482311+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:18.611666,2026-05-05T13:16:17.482311+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:19.645568,2026-05-05T13:16:17.482311+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:20.692448,2026-05-05T13:16:17.482311+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:21.741345,2026-05-05T13:16:17.482311+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:22.755932,2026-05-05T13:16:17.482311+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:23.796652,2026-05-05T13:16:17.482311+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:24.824111,2026-05-05T13:16:17.482311+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:25.854970,2026-05-05T13:16:17.482311+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:26.937467,2026-05-05T13:16:26.334828+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:28.008401,2026-05-05T13:16:26.334828+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:29.033571,2026-05-05T13:16:26.334828+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:30.070569,2026-05-05T13:16:26.334828+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:31.104032,2026-05-05T13:16:26.334828+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:32.129701,2026-05-05T13:16:26.334828+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:33.245869,2026-05-05T13:16:26.334828+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:34.378513,2026-05-05T13:16:26.334828+01:00,gbp,1.3542,1.3543,1.35425
2026-05-05T13:16:35.434798,2026-05-05T13:16:35.308522+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:36.492242,2026-05-05T13:16:35.308522+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:37.563046,2026-05-05T13:16:35.308522+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:38.593235,2026-05-05T13:16:35.308522+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:39.611477,2026-05-05T13:16:35.308522+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:40.632779,2026-05-05T13:16:35.308522+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:41.651554,2026-05-05T13:16:35.308522+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:42.672960,2026-05-05T13:16:35.308522+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:43.695666,2026-05-05T13:16:35.308522+01:00,gbp,1.35425,1.3543,1.354275
2026-05-05T13:16:44.714539,2026-05-05T13:16:44.108817+01:00,gbp,1.35415,1.35425,1.3542
2026-05-05T13:16:45.733298,2026-05-05T13:16:44.108817+01:00,gbp,1.35415,1.35425,1.3542
2026-05-05T13:16:46.756674,2026-05-05T13:16:44.108817+01:00,gbp,1.35415,1.35425,1.3542
2026-05-05T13:16:47.782325,2026-05-05T13:16:44.108817+01:00,gbp,1.35415,1.35425,1.3542
2026-05-05T13:16:48.823337,2026-05-05T13:16:44.108817+01:00,gbp,1.35415,1.35425,1.3542
2026-05-05T13:16:49.845663,2026-05-05T13:16:44.108817+01:00,gbp,1.35415,1.35425,1.3542
2026-05-05T13:16:50.873879,2026-05-05T13:16:44.108817+01:00,gbp,1.35415,1.35425,1.3542
2026-05-05T13:16:51.901950,2026-05-05T13:16:44.108817+01:00,gbp,1.35415,1.35425,1.3542
2026-05-05T13:16:52.926925,2026-05-05T13:16:44.108817+01:00,gbp,1.35415,1.35425,1.3542
2026-05-05T13:16:53.971270,2026-05-05T13:16:52.923249+01:00,gbp,1.3542,1.35425,1.354225
2026-05-05T13:16:55.001431,2026-05-05T13:16:52.923249+01:00,gbp,1.3542,1.35425,1.354225
2026-05-05T13:16:56.026693,2026-05-05T13:16:52.923249+01:00,gbp,1.3542,1.35425,1.354225
2026-05-05T13:16:57.053704,2026-05-05T13:16:52.923249+01:00,gbp,1.3542,1.35425,1.354225
2026-05-05T13:16:58.085007,2026-05-05T13:16:52.923249+01:00,gbp,1.3542,1.35425,1.354225
2026-05-05T13:16:59.142885,2026-05-05T13:16:52.923249+01:00,gbp,1.3542,1.35425,1.354225
2026-05-05T13:17:00.189768,2026-05-05T13:16:52.923249+01:00,gbp,1.3542,1.35425,1.354225
2026-05-05T13:17:01.209760,2026-05-05T13:16:52.923249+01:00,gbp,1.3542,1.35425,1.354225
2026-05-05T13:17:02.230212,2026-05-05T13:17:01.707180+01:00,gbp,1.35425,1.35435,1.3542999999999998
2026-05-05T13:17:03.247452,2026-05-05T13:17:01.707180+01:00,gbp,1.35425,1.35435,1.3542999999999998
2026-05-05T13:17:04.267329,2026-05-05T13:17:01.707180+01:00,gbp,1.35425,1.35435,1.3542999999999998
2026-05-05T13:17:05.287758,2026-05-05T13:17:01.707180+01:00,gbp,1.35425,1.35435,1.3542999999999998
2026-05-05T13:17:06.308719,2026-05-05T13:17:01.707180+01:00,gbp,1.35425,1.35435,1.3542999999999998
2026-05-05T13:17:07.353455,2026-05-05T13:17:01.707180+01:00,gbp,1.35425,1.35435,1.3542999999999998
2026-05-05T13:17:08.371488,2026-05-05T13:17:01.707180+01:00,gbp,1.35425,1.35435,1.3542999999999998
2026-05-05T13:17:09.391036,2026-05-05T13:17:01.707180+01:00,gbp,1.35425,1.35435,1.3542999999999998
2026-05-05T13:17:10.422127,2026-05-05T13:17:01.707180+01:00,gbp,1.35425,1.35435,1.3542999999999998
2026-05-05T13:17:11.452570,2026-05-05T13:17:10.960751+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:17:12.493209,2026-05-05T13:17:10.960751+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:17:13.550285,2026-05-05T13:17:10.960751+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:17:14.576637,2026-05-05T13:17:10.960751+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:17:15.650339,2026-05-05T13:17:10.960751+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:17:16.707780,2026-05-05T13:17:10.960751+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:17:17.802159,2026-05-05T13:17:10.960751+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:17:18.862566,2026-05-05T13:17:10.960751+01:00,gbp,1.3543,1.35435,1.354325
2026-05-05T13:17:19.932070,2026-05-05T13:17:19.698309+01:00,gbp,1.35425,1.35435,1.3542999999999998
