product_type,date,baseline_a_net,baseline_b_net,learned_net,baseline_a_switches,baseline_b_switches,learned_switches,baseline_a_hold_avg,baseline_b_hold_avg,baseline_a_positive_rate,baseline_b_positive_rate,learned_hold_pct,learned_action_flat,learned_flat_pct,best_3way,learned_action_hold,learned_action_switch
forex,2026-03-21,10145.0,10095.0,10195.0,6,7,5,40.85714285714285,35.75,1.0,1.0,97.6,2,0.7,L,280,5
forex,2026-03-22,435.0000000000085,435.0000000000085,-464.9999999999915,3,3,21,65.25,65.25,1.0,1.0,78.0,42,14.7,A,223,21
forex,2026-03-23,955.0000000002188,905.0000000002188,105.00000000021872,8,9,25,28.33333333333333,25.5,1.0,1.0,83.6,17,6.6,A,214,25
forex,2026-03-24,139.99999999997797,139.99999999997797,-360.00000000002206,1,1,11,9.5,9.5,1.0,1.0,0.0,9,45.0,A,0,11
forex,2026-03-25,1004.9999999999568,1004.9999999999568,-89.99999999999909,2,2,21,89.0,89.0,1.0,1.0,84.1,22,8.1,A,228,21
forex,2026-03-26,85.00000000000017,85.00000000000017,-1264.9999999999998,2,2,29,51.0,51.0,1.0,1.0,63.6,27,17.5,A,98,29
forex,2026-03-27,519.9999999999119,519.9999999999119,420.0000000000007,4,4,6,57.2,57.2,1.0,1.0,97.6,1,0.3,A,280,6
forex,2026-03-28,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,100.0,A,0,0
forex,2026-03-29,14.999999999996696,14.999999999996696,-335.0000000000033,0,0,7,12.0,12.0,1.0,1.0,0.0,6,46.2,A,0,7
forex,2026-03-30,220.00000000000037,120.00000000000034,-1379.9999999999995,3,5,35,60.0,40.0,1.0,1.0,72.2,32,13.3,A,174,35
forex,2026-03-31,809.9999999999898,859.9999999999898,259.99999999998977,3,2,14,63.5,84.66666666666667,1.0,1.0,90.2,11,4.3,B,230,14
forex,2026-04-01,85.00000000000028,135.00000000000028,-214.9999999999997,4,3,10,55.4,69.25,1.0,1.0,93.9,7,2.5,B,261,10
forex,2026-04-02,235.00000000000028,235.00000000000028,-1714.9999999999998,1,1,40,84.5,84.5,1.0,1.0,38.3,108,45.0,A,92,40
forex,2026-04-03,-264.9999999999997,-14.999999999999716,-1364.9999999999998,11,6,33,16.416666666666668,28.142857142857142,1.0,1.0,58.9,64,27.1,B,139,33
forex,2026-04-05,279.99999999998914,279.99999999998914,-70.00000000001086,0,0,7,31.0,31.0,1.0,1.0,57.6,7,21.2,A,19,7
forex,2026-04-06,320.00000000000057,370.00000000000057,-129.99999999999943,5,4,14,47.66666666666666,57.2,1.0,1.0,91.6,10,3.5,B,263,14
forex,2026-04-07,199.9999999999449,410.00000000002274,210.00000000002277,4,3,7,33.0,41.25,1.0,1.0,92.8,5,3.0,B,154,7
forex,2026-04-08,440.00000000000045,440.00000000000045,40.000000000000455,2,2,10,80.0,80.0,1.0,1.0,92.5,8,3.3,A,223,10
forex,2026-04-09,110.00000000000034,160.00000000000034,-39.99999999999966,5,4,8,14.833333333333334,17.8,1.0,1.0,21.0,286,76.9,B,78,8
forex,2026-04-10,1799.9999999999832,1899.9999999999832,1999.9999999999832,7,5,3,35.75,47.66666666666666,1.0,1.0,98.6,1,0.3,L,283,3
forex,2026-04-12,399.99999999993406,499.99999999993406,449.99999999993406,5,3,4,5.333333333333333,8.0,1.0,1.0,87.9,0,0.0,B,29,4
forex,2026-04-13,409.9999999998941,459.9999999998941,359.99999999989404,5,4,6,47.66666666666666,57.2,1.0,1.0,97.6,1,0.3,B,280,6
forex,2026-04-14,2809.999999999579,2809.999999999579,2659.999999999579,3,3,6,69.0,69.0,0.9963503649635036,0.9963636363636365,96.8,3,1.1,A,269,6
forex,2026-04-15,2310.0000000000023,2560.0000000000023,1659.9999999997472,14,9,8,19.066666666666663,28.6,1.0,1.0,97.2,0,0.0,B,279,8
forex,2026-04-16,2984.9999999998386,3084.9999999998386,2884.9999999998386,6,4,8,40.42857142857143,56.6,1.0,1.0,94.4,8,2.8,B,271,8
forex,2026-04-17,140.00000000000043,340.00000000000045,290.00000000000045,8,4,5,29.0,52.2,1.0,1.0,97.3,2,0.8,B,256,5
