product_type,date,fold,train_days,train_samples,day_net,switch_count,hold_pct,action_hold,action_switch,action_flat
forex,2026-03-21,0,5,5176,10045.0,8,97.2,279,8,0
forex,2026-03-22,1,6,6524,385.0000000000085,4,90.2,258,4,24
forex,2026-03-23,2,7,7676,805.0000000002187,11,95.7,245,11,0
forex,2026-03-24,3,8,8569,89.99999999997797,2,90.0,18,2,0
forex,2026-03-25,4,9,8657,954.9999999999568,3,97.8,265,3,3
forex,2026-03-26,5,10,9830,-114.99999999999983,6,93.5,144,6,4
forex,2026-03-27,6,11,10333,469.9999999999119,5,98.3,282,5,0
forex,2026-03-28,7,12,11707,0.0,0,0.0,0,0,2
forex,2026-03-29,8,13,11707,-35.000000000003304,1,92.3,12,1,0
forex,2026-03-30,9,14,11767,70.00000000000034,6,97.5,235,6,0
forex,2026-03-31,10,15,12442,809.9999999999898,3,98.8,252,3,0
forex,2026-04-01,11,16,13522,85.00000000000028,4,98.6,274,4,0
forex,2026-04-02,12,17,14314,185.00000000000028,2,70.0,168,2,70
forex,2026-04-03,13,18,14642,-64.99999999999972,7,80.9,191,7,38
forex,2026-04-05,14,19,15190,229.99999999998914,1,93.9,31,1,1
forex,2026-04-06,15,20,15345,320.00000000000057,5,98.3,282,5,0
forex,2026-04-07,16,21,16094,360.00000000002274,4,97.6,162,4,0
forex,2026-04-08,17,22,16889,390.00000000000045,3,98.8,238,3,0
forex,2026-04-09,18,23,17667,110.00000000000034,5,22.8,85,5,282
forex,2026-04-10,19,24,18082,1849.9999999999832,6,97.9,281,6,0
forex,2026-04-12,20,25,19393,449.99999999993406,4,87.9,29,4,0
forex,2026-04-13,21,26,19538,409.99999999989404,5,98.3,282,5,0
forex,2026-04-14,22,27,20947,2759.999999999579,4,98.2,273,4,1
forex,2026-04-15,23,28,22296,2510.0000000000023,10,96.5,277,10,0
forex,2026-04-16,24,29,23690,3034.9999999998386,5,97.2,279,5,3
forex,2026-04-17,25,30,25048,290.00000000000045,5,97.7,257,5,1
