open_hour,threshold,rule,total_net,avg_day,switches,days,opened_days,skipped_days
0,-9999,Always rank-1,26129.999999999392,1004.9999999999766,128,26,25,1
0,0,rank-1 + net>0,26229.999999999392,1008.8461538461305,126,26,25,1
0,25,rank-1 + net>25,27179.999999999305,1045.3846153845886,107,26,25,1
0,50,rank-1 + net>50,28029.999999999305,1078.0769230768963,90,26,25,1
0,75,rank-1 + net>75,28039.999999999334,1078.4615384615129,89,26,25,1
0,100,rank-1 + net>100,28089.999999999334,1080.3846153845898,88,26,25,1
0,150,rank-1 + net>150,27994.999999999378,1076.7307692307454,87,26,25,1
0,200,rank-1 + net>200,28174.999999999272,1083.6538461538182,81,26,25,1
0,300,rank-1 + net>300,28274.999999999272,1087.499999999972,79,26,25,1
0,500,rank-1 + net>500,28424.999999999272,1093.2692307692027,76,26,25,1
1,-9999,Always rank-1,26979.999999999392,1037.6923076922844,111,26,25,1
1,0,rank-1 + net>0,27079.999999999392,1041.5384615384382,109,26,25,1
1,25,rank-1 + net>25,27979.999999999305,1076.1538461538194,91,26,25,1
1,50,rank-1 + net>50,28679.999999999305,1103.0769230768963,77,26,25,1
1,75,rank-1 + net>75,28689.999999999334,1103.4615384615129,76,26,25,1
1,100,rank-1 + net>100,28739.999999999334,1105.3846153845898,75,26,25,1
1,150,rank-1 + net>150,28644.999999999378,1101.7307692307454,74,26,25,1
1,200,rank-1 + net>200,28824.999999999272,1108.6538461538182,68,26,25,1
1,300,rank-1 + net>300,28874.999999999272,1110.5769230768951,67,26,25,1
1,500,rank-1 + net>500,28874.999999999272,1110.5769230768951,67,26,25,1
2,-9999,Always rank-1,27379.999999999392,1053.0769230768997,103,26,25,1
2,0,rank-1 + net>0,27479.999999999392,1056.9230769230535,101,26,25,1
2,25,rank-1 + net>25,28179.999999999305,1083.8461538461272,87,26,25,1
2,50,rank-1 + net>50,28729.999999999305,1104.9999999999732,76,26,25,1
2,75,rank-1 + net>75,28739.999999999334,1105.3846153845898,75,26,25,1
2,100,rank-1 + net>100,28789.999999999334,1107.3076923076667,74,26,25,1
2,150,rank-1 + net>150,28694.999999999378,1103.6538461538223,73,26,25,1
2,200,rank-1 + net>200,28874.999999999272,1110.5769230768951,67,26,25,1
2,300,rank-1 + net>300,28924.999999999272,1112.499999999972,66,26,25,1
2,500,rank-1 + net>500,28924.999999999272,1112.499999999972,66,26,25,1
3,-9999,Always rank-1,27529.999999999392,1058.8461538461304,100,26,25,1
3,0,rank-1 + net>0,27629.999999999392,1062.6923076922844,98,26,25,1
3,25,rank-1 + net>25,28329.999999999305,1089.615384615358,84,26,25,1
3,50,rank-1 + net>50,28879.999999999305,1110.7692307692041,73,26,25,1
3,75,rank-1 + net>75,28889.999999999334,1111.1538461538205,72,26,25,1
3,100,rank-1 + net>100,28939.999999999334,1113.0769230768974,71,26,25,1
3,150,rank-1 + net>150,28844.999999999378,1109.423076923053,70,26,25,1
3,200,rank-1 + net>200,29024.999999999272,1116.3461538461258,64,26,25,1
3,300,rank-1 + net>300,29074.999999999272,1118.2692307692027,63,26,25,1
3,500,rank-1 + net>500,29074.999999999272,1118.2692307692027,63,26,25,1
