Clean Optimization Log - Date: 2026-05-14
------------------------------------------------
Cycle 001: PPH=-0.43   | Trades=2   | H=20 M=17 L=5 Off=-0.64 Min=1 TP=10.0 SL=None
Cycle 002: PPH=1.13    | Trades=3   | H=20 M=14 L=5 Off=-2.42 Min=5 TP=15.0 SL=10.0
Cycle 003: PPH=0.0     | Trades=0   | H=44 M=24 L=5 Off=-4.19 Min=3 TP=5.0 SL=15.0
Cycle 004: PPH=1.15    | Trades=5   | H=18 M=8 L=5 Off=-1.7 Min=5 TP=10.0 SL=15.0
Cycle 005: PPH=-72.05  | Trades=137 | H=20 M=14 L=7 Off=0.61 Min=8 TP=None SL=5.0
Cycle 006: PPH=1.17    | Trades=3   | H=16 M=11 L=8 Off=-1.27 Min=2 TP=10.0 SL=10.0
Cycle 007: PPH=-0.84   | Trades=30  | H=32 M=12 L=9 Off=-0.15 Min=3 TP=5.0 SL=15.0
Cycle 008: PPH=0.58    | Trades=1   | H=45 M=22 L=9 Off=-3.38 Min=2 TP=10.0 SL=15.0
Cycle 009: PPH=-52.01  | Trades=137 | H=37 M=17 L=10 Off=0.3 Min=3 TP=None SL=5.0
Cycle 010: PPH=0.0     | Trades=0   | H=27 M=23 L=9 Off=-1.53 Min=1 TP=20.0 SL=10.0
Cycle 011: PPH=-3.13   | Trades=76  | H=29 M=21 L=8 Off=0.4 Min=2 TP=None SL=10.0
Cycle 012: PPH=0.0     | Trades=0   | H=44 M=20 L=2 Off=-4.25 Min=1 TP=15.0 SL=5.0
Cycle 013: PPH=0.0     | Trades=0   | H=19 M=14 L=2 Off=-4.93 Min=5 TP=20.0 SL=None
Cycle 014: PPH=1.49    | Trades=4   | H=31 M=14 L=5 Off=-2.22 Min=8 TP=None SL=15.0
Cycle 015: PPH=2.48    | Trades=22  | H=17 M=8 L=5 Off=-0.05 Min=8 TP=20.0 SL=15.0
Cycle 016: PPH=5.38    | Trades=29  | H=28 M=20 L=10 Off=0.08 Min=10 TP=10.0 SL=None
Cycle 017: PPH=0.63    | Trades=1   | H=40 M=19 L=4 Off=-2.99 Min=2 TP=10.0 SL=None
Cycle 018: PPH=0.81    | Trades=12  | H=29 M=19 L=6 Off=-0.64 Min=5 TP=None SL=15.0
Cycle 019: PPH=2.71    | Trades=71  | H=44 M=16 L=9 Off=0.77 Min=2 TP=15.0 SL=10.0
Cycle 020: PPH=1.27    | Trades=11  | H=35 M=19 L=8 Off=-0.79 Min=5 TP=15.0 SL=5.0
Cycle 021: PPH=6.2     | Trades=32  | H=35 M=8 L=5 Off=0.05 Min=8 TP=20.0 SL=None
Cycle 022: PPH=6.26    | Trades=107 | H=17 M=8 L=5 Off=0.09 Min=1 TP=15.0 SL=15.0
Cycle 023: PPH=-37.83  | Trades=133 | H=31 M=25 L=4 Off=0.93 Min=3 TP=5.0 SL=10.0
Cycle 024: PPH=1.6     | Trades=9   | H=38 M=22 L=6 Off=-1.72 Min=8 TP=None SL=None
Cycle 025: PPH=-0.73   | Trades=19  | H=19 M=14 L=5 Off=-0.71 Min=3 TP=10.0 SL=5.0
Cycle 026: PPH=-50.72  | Trades=98  | H=37 M=19 L=9 Off=0.48 Min=10 TP=5.0 SL=10.0
Cycle 027: PPH=0.0     | Trades=0   | H=22 M=21 L=2 Off=-2.92 Min=1 TP=None SL=5.0
Cycle 028: PPH=0.82    | Trades=2   | H=44 M=20 L=6 Off=-2.85 Min=3 TP=15.0 SL=5.0
Cycle 029: PPH=0.88    | Trades=2   | H=45 M=20 L=6 Off=-3.54 Min=3 TP=15.0 SL=5.0
Cycle 030: PPH=0.0     | Trades=0   | H=21 M=16 L=5 Off=-4.38 Min=5 TP=5.0 SL=15.0
Cycle 031: PPH=-0.0    | Trades=76  | H=32 M=18 L=8 Off=0.77 Min=1 TP=5.0 SL=None
Cycle 032: PPH=0.0     | Trades=0   | H=18 M=15 L=9 Off=-2.53 Min=1 TP=5.0 SL=10.0
Cycle 033: PPH=1.58    | Trades=3   | H=42 M=12 L=10 Off=-3.88 Min=8 TP=10.0 SL=5.0
Cycle 034: PPH=1.59    | Trades=4   | H=38 M=11 L=8 Off=-3.2 Min=8 TP=10.0 SL=10.0
Cycle 035: PPH=0.0     | Trades=0   | H=25 M=20 L=5 Off=-4.76 Min=8 TP=None SL=5.0
Cycle 036: PPH=1.3     | Trades=11  | H=43 M=21 L=6 Off=-0.61 Min=2 TP=None SL=5.0
Cycle 037: PPH=0.0     | Trades=0   | H=39 M=13 L=5 Off=-4.73 Min=5 TP=10.0 SL=10.0
Cycle 038: PPH=0.0     | Trades=0   | H=36 M=18 L=7 Off=-4.61 Min=5 TP=10.0 SL=None
Cycle 039: PPH=3.38    | Trades=95  | H=27 M=9 L=6 Off=0.99 Min=1 TP=None SL=15.0
Cycle 040: PPH=0.91    | Trades=5   | H=40 M=20 L=4 Off=-1.61 Min=3 TP=20.0 SL=15.0
Cycle 041: PPH=0.0     | Trades=0   | H=27 M=8 L=5 Off=-4.45 Min=3 TP=10.0 SL=5.0
Cycle 042: PPH=0.0     | Trades=0   | H=43 M=8 L=2 Off=-2.93 Min=1 TP=10.0 SL=15.0
Cycle 043: PPH=0.0     | Trades=0   | H=22 M=12 L=5 Off=-4.7 Min=10 TP=20.0 SL=10.0
Cycle 044: PPH=6.87    | Trades=28  | H=30 M=22 L=8 Off=0.57 Min=8 TP=20.0 SL=None
Cycle 045: PPH=0.0     | Trades=0   | H=24 M=19 L=2 Off=-4.61 Min=3 TP=5.0 SL=None
Cycle 046: PPH=2.5     | Trades=9   | H=26 M=16 L=10 Off=-0.6 Min=2 TP=10.0 SL=15.0
Cycle 047: PPH=3.26    | Trades=45  | H=38 M=15 L=3 Off=0.95 Min=5 TP=15.0 SL=15.0
Cycle 048: PPH=-0.51   | Trades=33  | H=44 M=23 L=7 Off=-0.9 Min=8 TP=5.0 SL=5.0
Cycle 049: PPH=1.5     | Trades=1   | H=27 M=22 L=7 Off=-3.58 Min=8 TP=None SL=15.0
Cycle 050: PPH=0.64    | Trades=1   | H=25 M=20 L=3 Off=-3.67 Min=5 TP=None SL=15.0
Cycle 051: PPH=1.8     | Trades=13  | H=20 M=15 L=9 Off=-1.06 Min=10 TP=10.0 SL=None
Cycle 052: PPH=0.0     | Trades=0   | H=20 M=10 L=5 Off=-4.33 Min=3 TP=15.0 SL=5.0
Cycle 053: PPH=0.0     | Trades=0   | H=41 M=19 L=9 Off=-3.31 Min=1 TP=5.0 SL=5.0
Cycle 054: PPH=4.31    | Trades=48  | H=26 M=23 L=5 Off=0.43 Min=5 TP=10.0 SL=None
Cycle 055: PPH=0.58    | Trades=2   | H=33 M=11 L=6 Off=-3.14 Min=2 TP=5.0 SL=15.0
Cycle 056: PPH=1.55    | Trades=3   | H=24 M=8 L=5 Off=-3.76 Min=8 TP=10.0 SL=None
Cycle 057: PPH=0.58    | Trades=14  | H=36 M=20 L=7 Off=-0.74 Min=5 TP=10.0 SL=None
Cycle 058: PPH=-46.61  | Trades=106 | H=24 M=11 L=3 Off=0.43 Min=5 TP=10.0 SL=10.0
Cycle 059: PPH=0.73    | Trades=3   | H=41 M=8 L=6 Off=-3.66 Min=10 TP=None SL=15.0
Cycle 060: PPH=-40.77  | Trades=94  | H=38 M=19 L=6 Off=0.1 Min=5 TP=15.0 SL=10.0
Cycle 061: PPH=0.0     | Trades=0   | H=31 M=14 L=7 Off=-1.64 Min=1 TP=5.0 SL=10.0
Cycle 062: PPH=-44.17  | Trades=103 | H=28 M=8 L=6 Off=0.21 Min=5 TP=10.0 SL=10.0
Cycle 063: PPH=0.29    | Trades=7   | H=25 M=23 L=4 Off=-0.95 Min=1 TP=15.0 SL=5.0
Cycle 064: PPH=0.59    | Trades=1   | H=34 M=12 L=6 Off=-3.03 Min=5 TP=20.0 SL=10.0
Cycle 065: PPH=0.0     | Trades=0   | H=43 M=9 L=6 Off=-4.03 Min=3 TP=10.0 SL=10.0
Cycle 066: PPH=-3.88   | Trades=36  | H=25 M=17 L=7 Off=0.85 Min=8 TP=None SL=10.0
Cycle 067: PPH=0.4     | Trades=32  | H=17 M=12 L=5 Off=-0.21 Min=5 TP=5.0 SL=10.0
Cycle 068: PPH=1.29    | Trades=15  | H=37 M=10 L=6 Off=-2.0 Min=8 TP=5.0 SL=15.0
Cycle 069: PPH=0.23    | Trades=1   | H=44 M=15 L=8 Off=-3.36 Min=5 TP=5.0 SL=15.0
Cycle 070: PPH=0.93    | Trades=8   | H=20 M=14 L=10 Off=-1.73 Min=10 TP=None SL=15.0
Cycle 071: PPH=0.0     | Trades=0   | H=22 M=10 L=2 Off=-3.13 Min=1 TP=15.0 SL=10.0
Cycle 072: PPH=0.0     | Trades=0   | H=43 M=22 L=2 Off=-3.86 Min=1 TP=10.0 SL=10.0
Cycle 073: PPH=-1.3    | Trades=34  | H=40 M=12 L=4 Off=-0.88 Min=8 TP=5.0 SL=5.0
Cycle 074: PPH=0.0     | Trades=0   | H=42 M=10 L=8 Off=-4.71 Min=3 TP=15.0 SL=5.0
Cycle 075: PPH=-1.02   | Trades=95  | H=17 M=14 L=9 Off=0.37 Min=2 TP=5.0 SL=10.0
Cycle 076: PPH=0.0     | Trades=0   | H=40 M=9 L=3 Off=-2.85 Min=1 TP=10.0 SL=10.0
Cycle 077: PPH=-49.4   | Trades=167 | H=24 M=15 L=9 Off=0.57 Min=2 TP=5.0 SL=5.0
Cycle 078: PPH=1.33    | Trades=66  | H=39 M=19 L=7 Off=0.06 Min=5 TP=5.0 SL=15.0
Cycle 079: PPH=3.14    | Trades=37  | H=21 M=8 L=3 Off=0.77 Min=8 TP=10.0 SL=15.0
Cycle 080: PPH=0.64    | Trades=1   | H=38 M=20 L=3 Off=-3.69 Min=5 TP=15.0 SL=5.0
Cycle 081: PPH=0.0     | Trades=0   | H=16 M=11 L=10 Off=-0.88 Min=1 TP=None SL=10.0
Cycle 082: PPH=-49.35  | Trades=102 | H=38 M=14 L=7 Off=0.99 Min=5 TP=10.0 SL=10.0
Cycle 083: PPH=1.15    | Trades=3   | H=36 M=16 L=7 Off=-2.5 Min=5 TP=15.0 SL=None
Cycle 084: PPH=2.02    | Trades=11  | H=38 M=13 L=8 Off=-1.32 Min=10 TP=20.0 SL=10.0
Cycle 085: PPH=0.44    | Trades=4   | H=28 M=19 L=6 Off=-3.21 Min=10 TP=20.0 SL=None
Cycle 086: PPH=0.0     | Trades=0   | H=28 M=12 L=9 Off=-4.82 Min=10 TP=20.0 SL=10.0
Cycle 087: PPH=-0.21   | Trades=14  | H=42 M=13 L=9 Off=-0.57 Min=5 TP=5.0 SL=15.0
