Optimization Log - Symbol: AUDJPY_C - Date: 2026-05-13
----------------------------------------------------------------
Cycle 001: PPH=-1.06   | Trades=56  | H=18 M=13 L=8 Off=0.12 Min=2 TP=30.0 SL=10.0
Cycle 002: PPH=-5.8    | Trades=32  | H=16 M=11 L=8 Off=1.66 Min=1 TP=10.0 SL=None
Cycle 003: PPH=0.0     | Trades=0   | H=42 M=16 L=7 Off=-2.81 Min=1 TP=30.0 SL=None
Cycle 004: PPH=-0.06   | Trades=5   | H=37 M=13 L=6 Off=-0.66 Min=8 TP=10.0 SL=10.0
Cycle 005: PPH=0.0     | Trades=0   | H=44 M=25 L=12 Off=-3.15 Min=15 TP=30.0 SL=30.0
Cycle 006: PPH=0.0     | Trades=0   | H=44 M=24 L=4 Off=-4.42 Min=8 TP=None SL=10.0
Cycle 007: PPH=-16.04  | Trades=62  | H=29 M=24 L=12 Off=0.92 Min=3 TP=30.0 SL=10.0
Cycle 008: PPH=-0.03   | Trades=5   | H=47 M=11 L=8 Off=-0.74 Min=8 TP=30.0 SL=20.0
Cycle 009: PPH=0.0     | Trades=0   | H=44 M=23 L=5 Off=-4.15 Min=15 TP=50.0 SL=None
Cycle 010: PPH=0.17    | Trades=6   | H=40 M=21 L=4 Off=-1.17 Min=5 TP=10.0 SL=20.0
Cycle 011: PPH=-2.08   | Trades=53  | H=60 M=30 L=9 Off=0.15 Min=3 TP=None SL=20.0
Cycle 012: PPH=0.0     | Trades=0   | H=30 M=24 L=2 Off=-2.43 Min=15 TP=30.0 SL=30.0
Cycle 013: PPH=-0.37   | Trades=18  | H=25 M=20 L=13 Off=1.62 Min=10 TP=None SL=20.0
Cycle 014: PPH=-12.5   | Trades=36  | H=52 M=9 L=5 Off=1.6 Min=8 TP=30.0 SL=10.0
Cycle 015: PPH=-0.8    | Trades=32  | H=37 M=23 L=14 Off=0.35 Min=5 TP=20.0 SL=20.0
Cycle 016: PPH=0.83    | Trades=22  | H=27 M=22 L=11 Off=0.77 Min=8 TP=10.0 SL=20.0
Cycle 017: PPH=-0.81   | Trades=18  | H=60 M=10 L=7 Off=1.97 Min=10 TP=None SL=20.0
Cycle 018: PPH=0.05    | Trades=1   | H=15 M=10 L=7 Off=-2.28 Min=5 TP=50.0 SL=30.0
Cycle 019: PPH=0.0     | Trades=0   | H=25 M=14 L=4 Off=-3.14 Min=15 TP=None SL=None
