Optimization Log - Symbol: EURNZD_C - Date: 2026-05-13
----------------------------------------------------------------
Cycle 001: PPH=0.02    | Trades=2   | H=46 M=33 L=15 Off=-2.64 Min=8 TP=50.0 SL=None
Cycle 002: PPH=0.09    | Trades=31  | H=20 M=17 L=6 Off=1.2 Min=8 TP=10.0 SL=30.0
Cycle 003: PPH=-0.3    | Trades=28  | H=36 M=24 L=8 Off=1.83 Min=8 TP=30.0 SL=20.0
Cycle 004: PPH=0.0     | Trades=0   | H=51 M=34 L=7 Off=-4.54 Min=3 TP=10.0 SL=None
Cycle 005: PPH=0.5     | Trades=1   | H=42 M=19 L=12 Off=-3.21 Min=5 TP=50.0 SL=None
Cycle 006: PPH=-0.27   | Trades=8   | H=34 M=27 L=4 Off=-0.7 Min=15 TP=30.0 SL=30.0
Cycle 007: PPH=0.04    | Trades=3   | H=28 M=26 L=14 Off=-2.35 Min=8 TP=10.0 SL=None
Cycle 008: PPH=0.0     | Trades=0   | H=45 M=10 L=7 Off=-2.22 Min=3 TP=10.0 SL=20.0
Cycle 009: PPH=-2.36   | Trades=43  | H=45 M=12 L=4 Off=1.31 Min=5 TP=30.0 SL=30.0
Cycle 010: PPH=1.63    | Trades=28  | H=57 M=34 L=2 Off=0.95 Min=8 TP=None SL=20.0
Cycle 011: PPH=-0.34   | Trades=43  | H=22 M=17 L=11 Off=0.45 Min=5 TP=10.0 SL=30.0
Cycle 012: PPH=0.56    | Trades=1   | H=39 M=32 L=4 Off=-4.02 Min=5 TP=10.0 SL=None
Cycle 013: PPH=1.05    | Trades=5   | H=35 M=30 L=6 Off=-1.2 Min=2 TP=None SL=30.0
Cycle 014: PPH=0.55    | Trades=1   | H=22 M=17 L=11 Off=-3.93 Min=5 TP=20.0 SL=20.0
Cycle 015: PPH=0.0     | Trades=0   | H=17 M=12 L=9 Off=-3.65 Min=3 TP=50.0 SL=30.0
Cycle 016: PPH=0.42    | Trades=1   | H=46 M=28 L=7 Off=-3.53 Min=10 TP=None SL=20.0
Cycle 017: PPH=-0.34   | Trades=8   | H=41 M=9 L=6 Off=-0.58 Min=15 TP=None SL=None
Cycle 018: PPH=-0.4    | Trades=2   | H=35 M=22 L=3 Off=-2.16 Min=3 TP=None SL=20.0
Cycle 019: PPH=3.32    | Trades=27  | H=28 M=16 L=15 Off=0.07 Min=8 TP=None SL=20.0
Cycle 020: PPH=-0.14   | Trades=8   | H=15 M=10 L=7 Off=-0.93 Min=15 TP=10.0 SL=30.0
Cycle 021: PPH=0.0     | Trades=0   | H=36 M=8 L=5 Off=-2.23 Min=1 TP=50.0 SL=None
Cycle 022: PPH=-2.57   | Trades=40  | H=41 M=15 L=11 Off=1.56 Min=5 TP=None SL=30.0
Cycle 023: PPH=-3.2    | Trades=41  | H=43 M=16 L=11 Off=1.67 Min=5 TP=30.0 SL=10.0
Cycle 024: PPH=3.75    | Trades=19  | H=49 M=35 L=11 Off=0.59 Min=10 TP=30.0 SL=30.0
Cycle 025: PPH=3.59    | Trades=19  | H=15 M=10 L=7 Off=0.76 Min=10 TP=50.0 SL=30.0
Cycle 026: PPH=0.58    | Trades=1   | H=39 M=29 L=12 Off=-4.39 Min=5 TP=50.0 SL=30.0
Cycle 027: PPH=4.56    | Trades=19  | H=26 M=19 L=5 Off=0.03 Min=10 TP=20.0 SL=30.0
Cycle 028: PPH=0.38    | Trades=2   | H=19 M=17 L=11 Off=-3.2 Min=5 TP=10.0 SL=30.0
Cycle 029: PPH=0.34    | Trades=2   | H=43 M=18 L=3 Off=-3.22 Min=5 TP=10.0 SL=30.0
Cycle 030: PPH=0.0     | Trades=0   | H=47 M=13 L=3 Off=-2.76 Min=3 TP=20.0 SL=10.0
