Optimization Log - Symbol: EUR - Date: 2026-05-13
----------------------------------------------------------------
Cycle 001: PPH=0.0     | Trades=0   | H=20 M=10 L=8 Off=-3.09 Min=8 TP=10.0 SL=20.0
Cycle 002: PPH=0.48    | Trades=6   | H=36 M=32 L=3 Off=-0.22 Min=15 TP=None SL=20.0
Cycle 003: PPH=-0.35   | Trades=46  | H=29 M=22 L=6 Off=0.26 Min=1 TP=20.0 SL=10.0
Cycle 004: PPH=-3.0    | Trades=35  | H=60 M=10 L=7 Off=1.63 Min=1 TP=50.0 SL=None
Cycle 005: PPH=-7.01   | Trades=55  | H=60 M=28 L=4 Off=1.6 Min=3 TP=20.0 SL=20.0
Cycle 006: PPH=0.0     | Trades=0   | H=18 M=13 L=4 Off=-4.31 Min=5 TP=None SL=None
Cycle 007: PPH=-0.98   | Trades=13  | H=40 M=9 L=6 Off=-0.03 Min=8 TP=10.0 SL=None
Cycle 008: PPH=1.81    | Trades=12  | H=15 M=10 L=4 Off=0.71 Min=15 TP=30.0 SL=30.0
Cycle 009: PPH=-0.03   | Trades=4   | H=54 M=31 L=4 Off=-0.28 Min=1 TP=20.0 SL=20.0
Cycle 010: PPH=0.0     | Trades=0   | H=51 M=16 L=12 Off=1.87 Min=1 TP=30.0 SL=30.0
Cycle 011: PPH=-2.27   | Trades=33  | H=40 M=9 L=6 Off=1.64 Min=5 TP=None SL=10.0
Cycle 012: PPH=0.0     | Trades=0   | H=17 M=10 L=7 Off=-4.52 Min=15 TP=None SL=30.0
Cycle 013: PPH=0.0     | Trades=0   | H=18 M=13 L=12 Off=-1.88 Min=1 TP=10.0 SL=30.0
Cycle 014: PPH=0.0     | Trades=0   | H=35 M=12 L=4 Off=-3.71 Min=8 TP=10.0 SL=20.0
Cycle 015: PPH=-0.68   | Trades=22  | H=57 M=33 L=3 Off=-0.01 Min=3 TP=10.0 SL=None
Cycle 016: PPH=0.0     | Trades=0   | H=23 M=18 L=2 Off=-3.66 Min=10 TP=20.0 SL=30.0
Cycle 017: PPH=0.0     | Trades=0   | H=56 M=23 L=3 Off=-3.98 Min=10 TP=None SL=20.0
