Optimization Log - Symbol: GBPCHF_C - Date: 2026-05-13
----------------------------------------------------------------
Cycle 001: PPH=-50.64  | Trades=110 | H=40 M=32 L=4 Off=1.24 Min=1 TP=50.0 SL=10.0
Cycle 002: PPH=0.0     | Trades=0   | H=59 M=15 L=13 Off=-4.45 Min=15 TP=None SL=None
Cycle 003: PPH=0.51    | Trades=10  | H=45 M=26 L=14 Off=-0.58 Min=10 TP=50.0 SL=None
Cycle 004: PPH=0.0     | Trades=0   | H=25 M=20 L=14 Off=-1.08 Min=1 TP=20.0 SL=None
Cycle 005: PPH=-12.19  | Trades=66  | H=52 M=26 L=5 Off=1.52 Min=2 TP=10.0 SL=30.0
Cycle 006: PPH=0.64    | Trades=3   | H=19 M=14 L=7 Off=-2.22 Min=10 TP=None SL=10.0
Cycle 007: PPH=0.76    | Trades=3   | H=36 M=21 L=15 Off=-1.62 Min=15 TP=10.0 SL=None
Cycle 008: PPH=0.0     | Trades=0   | H=60 M=18 L=13 Off=0.04 Min=1 TP=20.0 SL=20.0
Cycle 009: PPH=-29.18  | Trades=77  | H=17 M=12 L=6 Off=0.28 Min=1 TP=20.0 SL=10.0
Cycle 010: PPH=0.39    | Trades=13  | H=53 M=20 L=8 Off=1.49 Min=15 TP=None SL=20.0
Cycle 011: PPH=0.49    | Trades=11  | H=51 M=18 L=10 Off=-0.78 Min=10 TP=None SL=None
Cycle 012: PPH=0.0     | Trades=0   | H=35 M=25 L=4 Off=-1.63 Min=3 TP=20.0 SL=20.0
Cycle 013: PPH=-8.56   | Trades=58  | H=21 M=16 L=4 Off=1.16 Min=3 TP=20.0 SL=30.0
Cycle 014: PPH=0.0     | Trades=0   | H=24 M=19 L=15 Off=-3.57 Min=10 TP=50.0 SL=30.0
Cycle 015: PPH=0.0     | Trades=0   | H=53 M=9 L=2 Off=-4.19 Min=1 TP=20.0 SL=30.0
Cycle 016: PPH=1.29    | Trades=4   | H=35 M=17 L=10 Off=-1.88 Min=8 TP=None SL=20.0
Cycle 017: PPH=0.0     | Trades=0   | H=57 M=18 L=12 Off=0.31 Min=1 TP=30.0 SL=None
Cycle 018: PPH=0.0     | Trades=0   | H=47 M=27 L=5 Off=-3.96 Min=3 TP=50.0 SL=30.0
Cycle 019: PPH=0.61    | Trades=10  | H=59 M=20 L=14 Off=-0.73 Min=10 TP=50.0 SL=None
Cycle 020: PPH=-5.83   | Trades=34  | H=55 M=11 L=8 Off=0.93 Min=1 TP=50.0 SL=20.0
Cycle 021: PPH=0.19    | Trades=1   | H=20 M=14 L=5 Off=-1.29 Min=2 TP=None SL=30.0
Cycle 022: PPH=0.0     | Trades=0   | H=35 M=28 L=8 Off=-3.03 Min=2 TP=50.0 SL=10.0
Cycle 023: PPH=1.69    | Trades=3   | H=24 M=19 L=15 Off=-3.42 Min=15 TP=50.0 SL=None
Cycle 024: PPH=-102.21 | Trades=134 | H=25 M=12 L=7 Off=1.45 Min=2 TP=20.0 SL=10.0
