UPGRADED Optimization Log - Symbol: GBP - Date: 2026-05-13
Note: Only cycles with >= 5 trades are logged and counted.
----------------------------------------------------------------
Valid Cycle 001 (Attempt 1): PPH=3.99    | Trades=25  | H=55 M=31 L=14 Off=1.53 Min=8 TP=30.0 SL=10.0
Valid Cycle 002 (Attempt 5): PPH=1.61    | Trades=17  | H=27 M=9 L=6 Off=0.91 Min=15 TP=30.0 SL=None
Valid Cycle 003 (Attempt 6): PPH=2.23    | Trades=13  | H=33 M=28 L=10 Off=-0.15 Min=10 TP=30.0 SL=10.0
Valid Cycle 004 (Attempt 7): PPH=1.01    | Trades=30  | H=38 M=8 L=4 Off=1.75 Min=8 TP=50.0 SL=10.0
Valid Cycle 005 (Attempt 9): PPH=3.15    | Trades=37  | H=60 M=31 L=6 Off=0.25 Min=8 TP=10.0 SL=10.0
Valid Cycle 006 (Attempt 10): PPH=3.14    | Trades=7   | H=24 M=8 L=7 Off=-1.44 Min=8 TP=30.0 SL=10.0
Valid Cycle 007 (Attempt 12): PPH=3.65    | Trades=21  | H=16 M=10 L=7 Off=0.67 Min=10 TP=20.0 SL=20.0
Valid Cycle 008 (Attempt 13): PPH=4.27    | Trades=30  | H=15 M=10 L=4 Off=0.19 Min=8 TP=None SL=None
Valid Cycle 009 (Attempt 14): PPH=2.25    | Trades=21  | H=22 M=17 L=7 Off=-0.32 Min=5 TP=10.0 SL=None
Valid Cycle 010 (Attempt 15): PPH=2.35    | Trades=45  | H=48 M=23 L=9 Off=0.34 Min=5 TP=10.0 SL=None
Valid Cycle 011 (Attempt 16): PPH=2.89    | Trades=43  | H=46 M=22 L=2 Off=0.43 Min=5 TP=20.0 SL=10.0
Valid Cycle 012 (Attempt 17): PPH=-2.07   | Trades=116 | H=20 M=15 L=4 Off=0.42 Min=1 TP=20.0 SL=None
Valid Cycle 013 (Attempt 19): PPH=2.9     | Trades=10  | H=24 M=15 L=7 Off=-1.16 Min=15 TP=None SL=30.0
Valid Cycle 014 (Attempt 25): PPH=0.86    | Trades=24  | H=25 M=11 L=6 Off=1.86 Min=10 TP=10.0 SL=None
Valid Cycle 015 (Attempt 28): PPH=1.99    | Trades=65  | H=59 M=16 L=6 Off=0.4 Min=3 TP=20.0 SL=20.0
Valid Cycle 016 (Attempt 30): PPH=2.26    | Trades=13  | H=16 M=11 L=10 Off=-0.19 Min=10 TP=20.0 SL=30.0
Valid Cycle 017 (Attempt 32): PPH=0.01    | Trades=104 | H=43 M=30 L=5 Off=0.35 Min=1 TP=50.0 SL=10.0
Valid Cycle 018 (Attempt 33): PPH=2.3     | Trades=13  | H=37 M=18 L=8 Off=-0.23 Min=10 TP=None SL=30.0
Valid Cycle 019 (Attempt 34): PPH=1.95    | Trades=17  | H=21 M=11 L=8 Off=0.62 Min=15 TP=None SL=30.0
Valid Cycle 020 (Attempt 36): PPH=2.38    | Trades=16  | H=19 M=16 L=5 Off=-0.1 Min=15 TP=20.0 SL=10.0
Valid Cycle 021 (Attempt 37): PPH=-0.62   | Trades=43  | H=16 M=11 L=8 Off=1.51 Min=5 TP=50.0 SL=10.0
Valid Cycle 022 (Attempt 41): PPH=2.37    | Trades=28  | H=53 M=11 L=10 Off=1.75 Min=8 TP=None SL=10.0
Valid Cycle 023 (Attempt 47): PPH=-1.54   | Trades=58  | H=17 M=12 L=8 Off=0.7 Min=1 TP=50.0 SL=10.0
Valid Cycle 024 (Attempt 58): PPH=3.82    | Trades=44  | H=59 M=20 L=14 Off=0.55 Min=3 TP=None SL=10.0
Valid Cycle 025 (Attempt 63): PPH=-1.34   | Trades=43  | H=55 M=11 L=8 Off=1.75 Min=5 TP=50.0 SL=10.0
Valid Cycle 026 (Attempt 65): PPH=3.54    | Trades=11  | H=58 M=16 L=15 Off=-0.52 Min=8 TP=30.0 SL=10.0
Valid Cycle 027 (Attempt 68): PPH=2.87    | Trades=10  | H=57 M=22 L=7 Off=-1.12 Min=15 TP=30.0 SL=20.0
Valid Cycle 028 (Attempt 70): PPH=-0.62   | Trades=77  | H=25 M=18 L=7 Off=0.48 Min=1 TP=50.0 SL=None
Valid Cycle 029 (Attempt 74): PPH=4.37    | Trades=69  | H=30 M=25 L=8 Off=0.23 Min=2 TP=20.0 SL=10.0
Valid Cycle 030 (Attempt 75): PPH=3.54    | Trades=43  | H=19 M=12 L=8 Off=0.12 Min=5 TP=50.0 SL=10.0
Valid Cycle 031 (Attempt 76): PPH=-1.04   | Trades=41  | H=41 M=28 L=11 Off=1.78 Min=5 TP=10.0 SL=None
