Optimization Log - Symbol: NZDCAD_C - Date: 2026-05-13
----------------------------------------------------------------
Cycle 001: PPH=0.0     | Trades=0   | H=16 M=11 L=5 Off=-4.8 Min=1 TP=20.0 SL=10.0
Cycle 002: PPH=-7.38   | Trades=38  | H=25 M=20 L=13 Off=1.68 Min=3 TP=None SL=20.0
Cycle 003: PPH=0.63    | Trades=8   | H=28 M=18 L=3 Off=-0.88 Min=15 TP=30.0 SL=20.0
Cycle 004: PPH=-2.34   | Trades=20  | H=15 M=10 L=7 Off=-0.27 Min=2 TP=30.0 SL=10.0
Cycle 005: PPH=0.0     | Trades=0   | H=31 M=26 L=5 Off=-2.11 Min=5 TP=None SL=20.0
Cycle 006: PPH=0.0     | Trades=0   | H=39 M=19 L=15 Off=-1.77 Min=5 TP=10.0 SL=20.0
Cycle 007: PPH=-9.97   | Trades=45  | H=41 M=16 L=10 Off=1.79 Min=3 TP=50.0 SL=None
Cycle 008: PPH=-2.34   | Trades=25  | H=31 M=8 L=4 Off=0.96 Min=8 TP=30.0 SL=30.0
Cycle 009: PPH=0.0     | Trades=0   | H=59 M=26 L=3 Off=-4.59 Min=8 TP=10.0 SL=None
Cycle 010: PPH=-10.01  | Trades=42  | H=60 M=30 L=7 Off=1.99 Min=1 TP=30.0 SL=20.0
Cycle 011: PPH=0.0     | Trades=0   | H=31 M=30 L=10 Off=-1.56 Min=8 TP=50.0 SL=30.0
Cycle 012: PPH=-7.09   | Trades=58  | H=18 M=13 L=9 Off=0.59 Min=2 TP=30.0 SL=20.0
Cycle 013: PPH=0.0     | Trades=0   | H=38 M=21 L=11 Off=-2.39 Min=10 TP=20.0 SL=30.0
Cycle 014: PPH=0.0     | Trades=0   | H=34 M=8 L=5 Off=-2.31 Min=8 TP=None SL=30.0
Cycle 015: PPH=0.0     | Trades=0   | H=18 M=13 L=12 Off=-2.9 Min=3 TP=20.0 SL=10.0
Cycle 016: PPH=0.0     | Trades=0   | H=31 M=20 L=7 Off=-4.94 Min=8 TP=20.0 SL=10.0
Cycle 017: PPH=0.52    | Trades=4   | H=22 M=17 L=15 Off=-0.99 Min=5 TP=20.0 SL=10.0
Cycle 018: PPH=0.0     | Trades=0   | H=38 M=25 L=12 Off=0.82 Min=1 TP=30.0 SL=10.0
Cycle 019: PPH=0.0     | Trades=0   | H=37 M=24 L=15 Off=-3.3 Min=10 TP=20.0 SL=20.0
Cycle 020: PPH=-8.5    | Trades=47  | H=41 M=14 L=8 Off=1.17 Min=3 TP=50.0 SL=30.0
Cycle 021: PPH=0.0     | Trades=0   | H=31 M=29 L=8 Off=-2.45 Min=1 TP=None SL=10.0
Cycle 022: PPH=0.0     | Trades=0   | H=20 M=15 L=14 Off=-0.66 Min=2 TP=50.0 SL=20.0
Cycle 023: PPH=-5.66   | Trades=41  | H=45 M=12 L=2 Off=0.65 Min=5 TP=30.0 SL=30.0
Cycle 024: PPH=-43.74  | Trades=74  | H=28 M=17 L=10 Off=0.48 Min=5 TP=30.0 SL=10.0
Cycle 025: PPH=0.0     | Trades=0   | H=15 M=10 L=9 Off=-3.9 Min=8 TP=20.0 SL=None
