Optimization Log - Symbol: NZDJPY_C - Date: 2026-05-13
----------------------------------------------------------------
Cycle 001: PPH=0.5     | Trades=9   | H=26 M=23 L=3 Off=-0.87 Min=10 TP=30.0 SL=30.0
Cycle 002: PPH=0.0     | Trades=0   | H=39 M=34 L=2 Off=-4.4 Min=15 TP=30.0 SL=20.0
Cycle 003: PPH=-4.01   | Trades=18  | H=22 M=13 L=10 Off=1.29 Min=15 TP=30.0 SL=10.0
Cycle 004: PPH=0.11    | Trades=1   | H=25 M=17 L=5 Off=-2.1 Min=10 TP=20.0 SL=None
Cycle 005: PPH=0.0     | Trades=0   | H=37 M=35 L=14 Off=0.75 Min=1 TP=None SL=20.0
Cycle 006: PPH=-11.01  | Trades=1   | H=30 M=9 L=6 Off=-3.34 Min=8 TP=10.0 SL=10.0
Cycle 007: PPH=-5.88   | Trades=66  | H=58 M=34 L=2 Off=0.69 Min=3 TP=None SL=30.0
Cycle 008: PPH=0.0     | Trades=0   | H=41 M=16 L=6 Off=-1.4 Min=1 TP=30.0 SL=None
Cycle 009: PPH=0.0     | Trades=0   | H=39 M=23 L=4 Off=-4.68 Min=3 TP=10.0 SL=None
Cycle 010: PPH=-4.46   | Trades=40  | H=57 M=24 L=3 Off=1.5 Min=5 TP=50.0 SL=30.0
Cycle 011: PPH=0.0     | Trades=0   | H=45 M=20 L=7 Off=-4.35 Min=3 TP=10.0 SL=30.0
Cycle 012: PPH=0.05    | Trades=1   | H=42 M=31 L=9 Off=-2.19 Min=5 TP=10.0 SL=30.0
Cycle 013: PPH=-0.75   | Trades=18  | H=26 M=21 L=9 Off=-0.25 Min=3 TP=None SL=20.0
Cycle 014: PPH=0.0     | Trades=0   | H=25 M=12 L=9 Off=-4.95 Min=10 TP=20.0 SL=None
Cycle 015: PPH=11.88   | Trades=20  | H=59 M=12 L=2 Off=0.61 Min=10 TP=20.0 SL=20.0
Cycle 016: PPH=11.44   | Trades=14  | H=58 M=11 L=8 Off=-0.18 Min=10 TP=50.0 SL=10.0
Cycle 017: PPH=-0.01   | Trades=1   | H=26 M=17 L=12 Off=-1.39 Min=5 TP=20.0 SL=20.0
Cycle 018: PPH=0.0     | Trades=0   | H=59 M=19 L=8 Off=-3.09 Min=5 TP=50.0 SL=None
