Optimization Log - Symbol: NZD - Date: 2026-05-13
----------------------------------------------------------------
Cycle 001: PPH=-2.63   | Trades=41  | H=41 M=22 L=13 Off=0.08 Min=3 TP=30.0 SL=None
Cycle 002: PPH=-3.53   | Trades=47  | H=41 M=8 L=5 Off=0.27 Min=1 TP=30.0 SL=20.0
Cycle 003: PPH=-0.81   | Trades=23  | H=53 M=18 L=12 Off=0.55 Min=8 TP=30.0 SL=10.0
Cycle 004: PPH=-1.03   | Trades=13  | H=16 M=9 L=7 Off=-0.13 Min=15 TP=50.0 SL=10.0
Cycle 005: PPH=-3.33   | Trades=34  | H=50 M=24 L=11 Off=0.8 Min=5 TP=50.0 SL=None
Cycle 006: PPH=0.0     | Trades=0   | H=17 M=14 L=2 Off=-2.42 Min=3 TP=20.0 SL=20.0
Cycle 007: PPH=0.0     | Trades=0   | H=42 M=18 L=11 Off=0.21 Min=1 TP=None SL=20.0
Cycle 008: PPH=0.1     | Trades=1   | H=31 M=14 L=11 Off=-3.47 Min=15 TP=None SL=30.0
Cycle 009: PPH=0.0     | Trades=0   | H=51 M=17 L=12 Off=0.46 Min=1 TP=30.0 SL=30.0
Cycle 010: PPH=-9.11   | Trades=53  | H=35 M=32 L=7 Off=1.38 Min=3 TP=10.0 SL=10.0
Cycle 011: PPH=-3.46   | Trades=33  | H=29 M=28 L=15 Off=0.93 Min=5 TP=None SL=None
Cycle 012: PPH=-9.46   | Trades=60  | H=28 M=15 L=4 Off=1.17 Min=3 TP=30.0 SL=None
Cycle 013: PPH=0.12    | Trades=1   | H=35 M=34 L=5 Off=-3.74 Min=15 TP=None SL=20.0
Cycle 014: PPH=-7.84   | Trades=65  | H=48 M=10 L=3 Off=0.8 Min=2 TP=None SL=None
Cycle 015: PPH=0.1     | Trades=3   | H=56 M=10 L=9 Off=-0.66 Min=10 TP=20.0 SL=30.0
Cycle 016: PPH=0.0     | Trades=0   | H=35 M=33 L=12 Off=-4.4 Min=2 TP=20.0 SL=30.0
Cycle 017: PPH=0.0     | Trades=0   | H=56 M=20 L=12 Off=-3.87 Min=8 TP=50.0 SL=10.0
Cycle 018: PPH=0.0     | Trades=0   | H=59 M=11 L=3 Off=-2.28 Min=1 TP=20.0 SL=30.0
Cycle 019: PPH=0.06    | Trades=1   | H=28 M=23 L=12 Off=-2.8 Min=15 TP=30.0 SL=30.0
